Dataset	Own	Last	Full
data/Olympic/raw.pickle	0.030899113550021062	0.8874630645842128	0.8874630645842128
data/SCv2-GEN/raw.pickle	0.005282932191432499	0.9645781037226625	0.9645781037226625
data/SE0714/raw.pickle	0.016576933975630537	0.9244828563332389	0.9244828563332389
data/SS-Twitter/raw.pickle	0.06000897666068228	0.9505834829443447	0.9505834829443447
data/SS-Youtube/raw.pickle	0.02100503663003661	0.9538690476190477	0.9538690476190477
